dimDiagnosisCodePK,DiagnosisCode,DiagnosisCodeDescription,DiagnosisCodeGroup
103309067,Z991,Dependence on respirator,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
106938809,Z991,Dependence on respirator,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107168099,Z991,Dependence on respirator,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
58384313,Z988,Other specified postsurgical states,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
61700991,Z988,Other specified postsurgical states,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
74786097,Z988,Other specified postsurgical states,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
97010877,Z988,Other specified postsurgical states,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
99085707,Z988,Other specified postsurgical states,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107449226,Z981,Arthrodesis status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
54481969,Z981,Arthrodesis status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
71895757,Z981,Arthrodesis status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
87073847,Z981,Arthrodesis status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
95090314,Z975,Presence of (intrauterine) contraceptive device,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107117037,Z966,Presence of orthopaedic joint implants,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107324497,Z966,Presence of orthopaedic joint implants,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107387941,Z966,Presence of orthopaedic joint implants,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
53384122,Z966,Presence of orthopaedic joint implants,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
61094874,Z966,Presence of orthopaedic joint implants,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107331977,Z961,Presence of intraocular lens,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107424401,Z961,Presence of intraocular lens,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107203554,Z958,Presence of other cardiac and vascular implants and grafts,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107166703,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107195636,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107271468,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
74820829,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
80705888,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
85497247,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
89161261,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
99618191,Z952,Presence of prosthetic heart valve,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107154466,Z951,Presence of aortocoronary bypass graft,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107444437,Z951,Presence of aortocoronary bypass graft,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107493101,Z951,Presence of aortocoronary bypass graft,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
59885027,Z951,Presence of aortocoronary bypass graft,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
95262419,Z951,Presence of aortocoronary bypass graft,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
53101554,Z950,Presence of cardiac pacemaker,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
77893906,Z950,Presence of cardiac pacemaker,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
78286819,Z950,Presence of cardiac pacemaker,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
91584741,Z950,Presence of cardiac pacemaker,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
95955659,Z950,Presence of cardiac pacemaker,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
106318611,Z947,Corneal transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107173895,Z947,Corneal transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107181862,Z947,Corneal transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107186268,Z947,Corneal transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107265942,Z944,Liver transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107690584,Z944,Liver transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107228159,Z940,Kidney transplant status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
103297482,Z932,Ileostomy status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
103348701,Z930,Tracheostomy status,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
53116403,Z918,"Personal history of other specified risk-factors, not elsewhere classified",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
71553319,Z918,"Personal history of other specified risk-factors, not elsewhere classified",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
98257213,Z918,"Personal history of other specified risk-factors, not elsewhere classified",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
106942814,Z896,Acquired absence of leg above knee,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107201911,Z894,Acquired absence of foot and ankle,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
59053288,Z878,Personal history of other specified conditions,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107060597,Z873,Personal history of diseases of the musculoskeletal system and connective tissue,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
87810924,Z873,Personal history of diseases of the musculoskeletal system and connective tissue,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
66167277,Z870,Personal history of diseases of the respiratory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
98039901,Z870,Personal history of diseases of the respiratory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107145607,Z867,Personal history of diseases of the circulatory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
57666236,Z867,Personal history of diseases of the circulatory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
88613382,Z867,Personal history of diseases of the circulatory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
94327593,Z867,Personal history of diseases of the circulatory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107250941,Z862,Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
79752735,Z860,Personal history of other neoplasms,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
96889911,Z858,Personal history of malignant neoplasms of other organs and systems,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
94848765,Z857,"Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
110112652,Z853,Personal history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
57779744,Z853,Personal history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
78900467,Z853,Personal history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
87368515,Z853,Personal history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
95458419,Z853,Personal history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
100729609,Z851,"Personal history of malignant neoplasm of trachea, bronchus and lung",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107482521,Z851,"Personal history of malignant neoplasm of trachea, bronchus and lung",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107499111,Z851,"Personal history of malignant neoplasm of trachea, bronchus and lung",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
68300203,Z851,"Personal history of malignant neoplasm of trachea, bronchus and lung",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
95549779,Z851,"Personal history of malignant neoplasm of trachea, bronchus and lung",Persons with potential health hazards related to family and personal history and certain conditions influencing health status
108502211,Z848,Family history of other specified conditions,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
91592162,Z824,Family history of ischaemic heart disease and other diseases of the circulatory system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
59677897,Z804,Family history of malignant neoplasm of genital organs,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
53119648,Z803,Family history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
97582517,Z803,Family history of malignant neoplasm of breast,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
93609386,Z800,Family history of malignant neoplasm of digestive organs,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
107186419,Z798,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107147476,Z790,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107235341,Z790,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
62477822,Z790,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
69432271,Z789,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
84898647,Z789,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
89403625,Z780,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107342537,Z772,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107200899,Z768,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107252432,Z768,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107262081,Z768,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107277659,Z768,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
113235051,Z768,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
85247556,Z768,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
54253732,Z685,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
65969478,Z685,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
81083457,Z685,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
