Date,Year,Month,MonthPeriod,MonthYear,Day,DayName
15-12-2019,2019,December,201912,Dec-19,15,Sunday
16-12-2019,2019,December,201912,Dec-19,16,Monday
17-12-2019,2019,December,201912,Dec-19,17,Tuesday
18-12-2019,2019,December,201912,Dec-19,18,Wednesday
19-12-2019,2019,December,201912,Dec-19,19,Thursday
20-12-2019,2019,December,201912,Dec-19,20,Friday
21-12-2019,2019,December,201912,Dec-19,21,Saturday
22-12-2019,2019,December,201912,Dec-19,22,Sunday
23-12-2019,2019,December,201912,Dec-19,23,Monday
24-12-2019,2019,December,201912,Dec-19,24,Tuesday
25-12-2019,2019,December,201912,Dec-19,25,Wednesday
26-12-2019,2019,December,201912,Dec-19,26,Thursday
27-12-2019,2019,December,201912,Dec-19,27,Friday
28-12-2019,2019,December,201912,Dec-19,28,Saturday
29-12-2019,2019,December,201912,Dec-19,29,Sunday
30-12-2019,2019,December,201912,Dec-19,30,Monday
31-12-2019,2019,December,201912,Dec-19,31,Tuesday
01-01-2020,2020,January,202001,Jan-20,1,Wednesday
02-01-2020,2020,January,202001,Jan-20,2,Thursday
03-01-2020,2020,January,202001,Jan-20,3,Friday
04-01-2020,2020,January,202001,Jan-20,4,Saturday
05-01-2020,2020,January,202001,Jan-20,5,Sunday
06-01-2020,2020,January,202001,Jan-20,6,Monday
07-01-2020,2020,January,202001,Jan-20,7,Tuesday
08-01-2020,2020,January,202001,Jan-20,8,Wednesday
09-01-2020,2020,January,202001,Jan-20,9,Thursday
10-01-2020,2020,January,202001,Jan-20,10,Friday
11-01-2020,2020,January,202001,Jan-20,11,Saturday
12-01-2020,2020,January,202001,Jan-20,12,Sunday
13-01-2020,2020,January,202001,Jan-20,13,Monday
14-01-2020,2020,January,202001,Jan-20,14,Tuesday
15-01-2020,2020,January,202001,Jan-20,15,Wednesday
16-01-2020,2020,January,202001,Jan-20,16,Thursday
17-01-2020,2020,January,202001,Jan-20,17,Friday
18-01-2020,2020,January,202001,Jan-20,18,Saturday
19-01-2020,2020,January,202001,Jan-20,19,Sunday
20-01-2020,2020,January,202001,Jan-20,20,Monday
21-01-2020,2020,January,202001,Jan-20,21,Tuesday
22-01-2020,2020,January,202001,Jan-20,22,Wednesday
23-01-2020,2020,January,202001,Jan-20,23,Thursday
24-01-2020,2020,January,202001,Jan-20,24,Friday
25-01-2020,2020,January,202001,Jan-20,25,Saturday
26-01-2020,2020,January,202001,Jan-20,26,Sunday
27-01-2020,2020,January,202001,Jan-20,27,Monday
28-01-2020,2020,January,202001,Jan-20,28,Tuesday
29-01-2020,2020,January,202001,Jan-20,29,Wednesday
30-01-2020,2020,January,202001,Jan-20,30,Thursday
31-01-2020,2020,January,202001,Jan-20,31,Friday
01-02-2020,2020,February,202002,Feb-20,1,Saturday
02-02-2020,2020,February,202002,Feb-20,2,Sunday
03-02-2020,2020,February,202002,Feb-20,3,Monday
04-02-2020,2020,February,202002,Feb-20,4,Tuesday
05-02-2020,2020,February,202002,Feb-20,5,Wednesday
06-02-2020,2020,February,202002,Feb-20,6,Thursday
07-02-2020,2020,February,202002,Feb-20,7,Friday
08-02-2020,2020,February,202002,Feb-20,8,Saturday
09-02-2020,2020,February,202002,Feb-20,9,Sunday
10-02-2020,2020,February,202002,Feb-20,10,Monday
11-02-2020,2020,February,202002,Feb-20,11,Tuesday
12-02-2020,2020,February,202002,Feb-20,12,Wednesday
13-02-2020,2020,February,202002,Feb-20,13,Thursday
14-02-2020,2020,February,202002,Feb-20,14,Friday
15-02-2020,2020,February,202002,Feb-20,15,Saturday
16-02-2020,2020,February,202002,Feb-20,16,Sunday
17-02-2020,2020,February,202002,Feb-20,17,Monday
18-02-2020,2020,February,202002,Feb-20,18,Tuesday
19-02-2020,2020,February,202002,Feb-20,19,Wednesday
20-02-2020,2020,February,202002,Feb-20,20,Thursday
21-02-2020,2020,February,202002,Feb-20,21,Friday
22-02-2020,2020,February,202002,Feb-20,22,Saturday
23-02-2020,2020,February,202002,Feb-20,23,Sunday
24-02-2020,2020,February,202002,Feb-20,24,Monday
25-02-2020,2020,February,202002,Feb-20,25,Tuesday
26-02-2020,2020,February,202002,Feb-20,26,Wednesday
27-02-2020,2020,February,202002,Feb-20,27,Thursday
28-02-2020,2020,February,202002,Feb-20,28,Friday
