dimTransactionPK,TransactionType,Transaction,AdjustmentReason
45842,Charge,"ppps, initial visit",Charge
45873,Charge,pr diagnostic mammography computer-aided detcj bi,Charge
45874,Charge,Eardrum Opening,Charge
45888,Charge,e&m estb detailed/mod,Charge
45889,Charge,x-ray ankle 3+ vw,Charge
45945,Charge,"repair ing hernia,5+y/o,reducibl",Charge
45950,Adjustment,contractual/differential w/o,Contractual
45979,Charge,ct scan of abdomen contrast,Charge
45986,Charge,"mr angio, neck, combo",Charge
45999,Charge,hosp discharge day mgmt 30 or <,Charge
46003,Charge,ultrasound elastography parenchyma,Charge
46008,Charge,"urinalysis, nonauto, w/scope",Charge
46025,Charge,ilr evaluation (remote) up to 30 days,Charge
46030,Charge,hemoglobin,Charge
46032,Adjustment,Inpatient Adjustment,Operational Writeoff
46048,Charge,"x-ray exam, breast specimen",Charge
46056,Charge,pr thoracentesis needle/cath pleura w/imaging,Charge
46060,Charge,slo or oct imaging of glaucoma,Charge
46071,Adjustment,non-billable pb insurance w/o,Operational Writeoff
46121,Payment,care payment,Payment
46145,Charge,Arterial Procedure,Charge
46149,Charge,initial hosp care  moderate complex,Charge
46169,Charge,collection capillary blood specimen,Charge
46171,Charge,pr place needle in vein,Charge
46183,Charge,observation care discharge day managmt,Charge
46186,Charge,"pr cardiac stress tst,interp/rept only",Charge
46203,Charge,dual chamb icd eval/programm,Charge
46222,Charge,"us, abdomen limited",Charge
46230,Charge,"e&m, established, comprehensive, 40 or <",Charge
46259,Charge,x-ray exam hip uni 1 view,Charge
46273,Charge,brief emotional/behavioral assessment,Charge
46290,Charge,x-ray pelvis 1/2 vw,Charge
46320,Charge,"Procedure, Exam or Treatment",Charge
46326,Charge,pr rem interrog scrms <30 d phys/qhp,Charge
46334,Charge,"Procedure, Exam or Treatment",Charge
46358,Charge,pr var vaccine live for subcutaneous use,Charge
46396,Charge,x-ray shoulder 2+ vw,Charge
46412,Charge,"upper gi endoscopy,biopsy",Charge
46458,Charge,"Procedure, Exam or Treatment",Charge
46465,Charge,interpretation ecg stat,Charge
46503,Charge,pr cont gluc monitoring patient provided equiptment,Charge
46516,Charge,Exam,Charge
46519,Charge,"cabg, artery-vein, single",Charge
46557,Charge,pr radex spine lumbscrl compl w/bending views min 6,Charge
46558,Charge,x-ray clavicle,Charge
46573,Charge,"pr immuniz,admin,each addl",Charge
46604,Charge,"e&m, new, comprehensive high",Charge
46622,Charge,"ct scan,lower extremity,w/o contrast",Charge
46636,Charge,Vaccine,Charge
46637,Charge,pr insert tunneled cv cath with port,Charge
46641,Charge,ekg 24hr w/superimpo md rev/interp ped,Charge
46650,Charge,"Procedure, Exam or Treatment",Charge
46653,Adjustment,physician not enrolled w/o,Credentialing
46654,Charge,electrocard rout ecg w/12 ld w/interp,Charge
46656,Charge,"Procedure, Exam or Treatment",Charge
46678,Charge,"pr electrocardiogram, complete",Charge
46690,Charge,singl chamb icd eval/programm,Charge
46697,Charge,"Procedure, Exam or Treatment",Charge
46700,Charge,x-ray sacroiliac jts 3+ vw,Charge
46715,Charge,"Procedure, Exam or Treatment",Charge
46717,Charge,mod sed other phys ea add 15 min,Charge
46724,Charge,"Procedure, Exam or Treatment",Charge
46737,Charge,"Procedure, Exam or Treatment",Charge
46742,Charge,cat scan of chest contrast,Charge
46746,Charge,"Procedure, Exam or Treatment",Charge
46757,Charge,subsequent intensive care infant 1500-2500,Charge
46763,Payment,ucb bad debt payment (account),Payment
